Tally by Opcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opcode (Hex) >,0x00,0x01,0x03,0x04,0x05,0x06,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x11,0x12,0x13,0x14,0x15,0x16,0x18,0x19,0x1B,0x1C,0x1E,0x28,0x4F,0x51,0x52,0x53,0x54,0x55,0x56,0x57,0x58,0x59,0x5A,0x5B,0x5C,0x5D,0x5E,0x5F,0x60,0x61,0x62,0x64,0x66,0x68,0x6B,0x6C,0x72,0x75,0x76,0x79,0x7A,0x7C,0x7E,0x87,0x93,0x9C,0xC0,0xC1,0xC3,0xC4,0xC5,0xFF
,,Opcode >,PUSH0,PUSHBYTES1,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,27,28,30,40,PUSHM1,PUSH1,PUSH2,PUSH3,PUSH4,PUSH5,PUSH6,PUSH7,PUSH8,PUSH9,PUSH10,PUSH11,PUSH12,PUSH13,PUSH14,PUSH15,PUSH16,NOP,JMP,JMPIFNOT,RET,SYSCALL,TOALTSTACK,FROMALTSTACK,XSWAP,DROP,DUP,PICK,ROLL,SWAP,CAT,EQUAL,ADD,NUMEQUAL,ARRAYSIZE,PACK,PICKITEM,SETITEM,NEWARRAY,_STORAGE
,,Cost >,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1
D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs,0,// No source code available,672,488,3,9,2,2,1,3,3,8,3,11,2,6,1,4,1,1,1,3,4,18,2,1,13,1,1,768,1125,457,149,148,84,111,48,50,29,22,9,11,6,13,6,1470,251,21,185,94,1883,1883,36,199,2083,12,647,131,660,3,1,17,4,1,1414,1095,279,5
,,Tally by Opcode>,672,488,3,9,2,2,1,3,3,8,3,11,2,6,1,4,1,1,1,3,4,18,2,1,13,1,1,768,1125,457,149,148,84,111,48,50,29,22,9,11,6,13,6,1470,251,21,185,94,1883,1883,36,199,2083,12,647,131,660,3,1,17,4,1,1414,1095,279,5
,,Total Tally>,16674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costs by Opcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Opcode (Hex) >,0x00,0x01,0x03,0x04,0x05,0x06,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x11,0x12,0x13,0x14,0x15,0x16,0x18,0x19,0x1B,0x1C,0x1E,0x28,0x4F,0x51,0x52,0x53,0x54,0x55,0x56,0x57,0x58,0x59,0x5A,0x5B,0x5C,0x5D,0x5E,0x5F,0x60,0x61,0x62,0x64,0x66,0x68,0x6B,0x6C,0x72,0x75,0x76,0x79,0x7A,0x7C,0x7E,0x87,0x93,0x9C,0xC0,0xC1,0xC3,0xC4,0xC5,0xFF
,,Opcode >,PUSH0,PUSHBYTES1,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,27,28,30,40,PUSHM1,PUSH1,PUSH2,PUSH3,PUSH4,PUSH5,PUSH6,PUSH7,PUSH8,PUSH9,PUSH10,PUSH11,PUSH12,PUSH13,PUSH14,PUSH15,PUSH16,NOP,JMP,JMPIFNOT,RET,SYSCALL,TOALTSTACK,FROMALTSTACK,XSWAP,DROP,DUP,PICK,ROLL,SWAP,CAT,EQUAL,ADD,NUMEQUAL,ARRAYSIZE,PACK,PICKITEM,SETITEM,NEWARRAY,_STORAGE
,,Cost >,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1
D:\repos\neo-npcc\neo-npcc\NPC.dApps.NeoDraw.Main\Contract1.cs,0,// No source code available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.021,0.185,0.094,1.883,1.883,0.036,0.199,2.083,0.012,0.647,0.131,0.66,0.003,0,0.017,0.004,0,1.414,1.095,0.279,5
,,Costs by Opcode>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0.021,0.185,0.094,1.883,1.883,0.036,0.199,2.083,0.012,0.647,0.131,0.66,0.003,0,0.017,0.004,0,1.414,1.095,0.279,5
,,Total Cost>,15.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
